fl_date	mkt_unique_carrier	branded_code_share	mkt_carrier	mkt_carrier_fl_num	op_unique_carrier	tail_num	op_carrier_fl_num	origin_airport_id	origin	origin_city_name	dest_airport_id	dest	dest_city_name	crs_dep_time	dep_time	dep_delay	taxi_out	wheels_off	wheels_on	taxi_in	crs_arr_time	arr_time	arr_delay	cancelled	cancellation_code	diverted	dup	crs_elapsed_time	actual_elapsed_time	air_time	flights	distance	carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	first_dep_time	total_add_gtime	longest_add_gtime	no_name
2019-10-08	WN	WN	WN	2014	WN	N7858A	2014	12892	LAX	Los Angeles, CA	14893	SMF	Sacramento, CA	1840	1839	-1	10	1849	1950	5	2010	1955	-15	0		0	N	90	76	61	1	373									
2018-07-23	DL	DL_CODESHARE	DL	5388	9E	N8969A	5388	10821	BWI	Baltimore, MD	14492	RDU	Raleigh/Durham, NC	1526	1619	53	20	1639	1729	3	1636	1732	56	0		0	N	70	73	50	1	255	0	7	3	0	46				
2019-02-28	AS	AS_CODESHARE	AS	3354	OO	N193SY	3354	14831	SJC	San Jose, CA	11259	DAL	Dallas, TX	945	1019	34	12	1031	1524	4	1520	1528	8	0		0	N	215	189	173	1	1450									
2018-06-25	WN	WN	WN	464	WN	N7702A	464	11292	DEN	Denver, CO	13871	OMA	Omaha, NE	1350	1346	-4	11	1357	1604	3	1615	1607	-8	0		0	N	85	81	67	1	472									
2019-05-01	AS	AS_CODESHARE	AS	2677	QX	N637QX	2677	14679	SAN	San Diego, CA	14004	PAE	Everett, WA	1420	1414	-6	21	1435	1718	4	1720	1722	2	0		0	N	180	188	163	1	1080									
2019-05-03	AA	AA	AA	85	AA	N960NN	85	11057	CLT	Charlotte, NC	13303	MIA	Miami, FL	1701	1701	0	32	1733	1936	18	1918	1954	36	0		0	N	137	173	123	1	650	0	0	36	0	0				
2019-07-13	DL	DL	DL	318	DL	N974DL	318	10397	ATL	Atlanta, GA	14193	PNS	Pensacola, FL	1635	1635	0	11	1646	1632	4	1648	1636	-12	0		0	N	73	61	46	1	271									
2018-02-10	AA	AA_CODESHARE	AA	2849	EV	N600QX	2849	11298	DFW	Dallas/Fort Worth, TX	14674	SAF	Santa Fe, NM	910	902	-8	24	926	945	5	1011	950	-21	0		0	N	121	108	79	1	551									
2019-07-17	UA	UA	UA	2263	UA	N35271	2263	14771	SFO	San Francisco, CA	12892	LAX	Los Angeles, CA	1830	1825	-5	27	1852	1947	13	2013	2000	-13	0		0	N	103	95	55	1	337									
2018-04-04	AS	AS	AS	972	AS	N317AS	972	14747	SEA	Seattle, WA	14262	PSP	Palm Springs, CA	930	915	-15	18	933	1140	5	1208	1145	-23	0		0	N	158	150	127	1	987									
2018-05-18	WN	WN	WN	16	WN	N480WN	16	10423	AUS	Austin, TX	15016	STL	St. Louis, MO	1305	1308	3	8	1316	1454	3	1505	1457	-8	0		0	N	120	109	98	1	721									
2019-09-20	UA	UA_CODESHARE	UA	5335	OO	N788SK	5335	11292	DEN	Denver, CO	14869	SLC	Salt Lake City, UT	2215	2356	101	14	10	115	6	2351	121	90	0		0	N	96	85	65	1	391	0	3	0	0	87				
2018-09-02	AA	AA	AA	985	AA	N910AN	985	11278	DCA	Washington, DC	13930	ORD	Chicago, IL	1240	1232	-8	20	1252	1319	19	1356	1338	-18	0		0	N	136	126	87	1	612									
2019-08-28	AS	AS	AS	828	AS	N569AS	828	10299	ANC	Anchorage, AK	12173	HNL	Honolulu, HI	1535	1527	-8	19	1546	1909	5	1940	1914	-26	0		0	N	365	347	323	1	2777									
2019-01-30	DL	DL_CODESHARE	DL	5488	9E	N916XJ	5488	13487	MSP	Minneapolis, MN	11042	CLE	Cleveland, OH	1638	1647	9	13	1700	1918	15	1955	1933	-22	0		0	N	137	106	78	1	622									
2018-02-20	UA	UA	UA	390	UA	N73283	390	14771	SFO	San Francisco, CA	13930	ORD	Chicago, IL	1617	1639	22	12	1651	2216	2	2224	2218	-6	0		0	N	247	219	205	1	1846									
2018-11-04	AA	AA_CODESHARE	AA	5925	YV	N914FJ	5925	10561	BFL	Bakersfield, CA	14107	PHX	Phoenix, AZ	606	604	-2	17	621	832	11	841	843	2	0		0	N	95	99	71	1	425									
2019-01-04	UA	UA_CODESHARE	UA	5186	OO	N979SW	5186	13891	ONT	Ontario, CA	14771	SFO	San Francisco, CA	930	924	-6	15	939	1038	19	1105	1057	-8	0		0	N	95	93	59	1	363									
2018-07-30	DL	DL	DL	1430	DL	N358DN	1430	14679	SAN	San Diego, CA	10397	ATL	Atlanta, GA	1435	1455	20	34	1529	2208	24	2157	2232	35	0		0	N	262	277	219	1	1892	9	0	15	0	11				
2019-08-01	AA	AA_CODESHARE	AA	3340	MQ	N250NN	3340	11298	DFW	Dallas/Fort Worth, TX	12992	LIT	Little Rock, AR	1030	1030	0	32	1102	1151	4	1151	1155	4	0		0	N	81	85	49	1	304									
2019-01-29	AA	AA_CODESHARE	AA	5862	YV	N904FJ	5862	13158	MAF	Midland/Odessa, TX	11298	DFW	Dallas/Fort Worth, TX	805	753	-12	38	831	920	16	925	936	11	0		0	N	80	103	49	1	309									
2019-06-01	WN	WN	WN	2795	WN	N951WN	2795	12191	HOU	Houston, TX	13158	MAF	Midland/Odessa, TX	2105	2128	23	9	2137	2246	3	2235	2249	14	0		0	N	90	81	69	1	441									
2018-03-14	AA	AA_CODESHARE	AA	3645	MQ	N543EA	3645	13930	ORD	Chicago, IL	13076	LSE	La Crosse, WI	2030	2125	55	16	2141	2223	3	2137	2226	49	0		0	N	67	61	42	1	215	0	0	0	0	49				
2018-03-19	AA	AA	AA	1075	AA	N887NN	1075	11298	DFW	Dallas/Fort Worth, TX	11540	ELP	El Paso, TX	1845	1849	4	20	1909	1929	5	1936	1934	-2	0		0	N	111	105	80	1	551									
2019-08-07	DL	DL	DL	645	DL	N363NW	645	13487	MSP	Minneapolis, MN	11884	GEG	Spokane, WA	845	843	-2	17	900	936	4	947	940	-7	0		0	N	182	177	156	1	1175									
2018-02-13	AA	AA_CODESHARE	AA	3807	MQ	N261NN	3807	12278	ICT	Wichita, KS	11298	DFW	Dallas/Fort Worth, TX	1628	1634	6	10	1644	1740	9	1750	1749	-1	0		0	N	82	75	56	1	328									
2019-12-27	WN	WN	WN	2401	WN	N909WN	2401	11697	FLL	Fort Lauderdale, FL	11066	CMH	Columbus, OH	1420	1427	7	14	1441	1646	4	1700	1650	-10	0		0	N	160	143	125	1	973									
2019-02-10	UA	UA_CODESHARE	UA	3778	ZW	N431AW	3778	11109	COS	Colorado Springs, CO	11292	DEN	Denver, CO	1610	1601	-9	14	1615	1635	11	1700	1646	-14	0		0	N	50	45	20	1	73									
2018-01-06	AA	AA_CODESHARE	AA	6006	CP	N204NN	6006	12892	LAX	Los Angeles, CA	10140	ABQ	Albuquerque, NM	2105	2124	19	14	2138	2357	4	2358	1	3	0		0	N	113	97	79	1	677									
2019-06-24	AA	AA_CODESHARE	AA	3547	MQ	N687JS	3547	13930	ORD	Chicago, IL	10268	ALO	Waterloo, IA	1144	1140	-4	30	1210	1249	6	1251	1255	4	0		0	N	67	75	39	1	234									
2019-12-11	DL	DL	DL	2936	DL	N697DL	2936	13495	MSY	New Orleans, LA	10397	ATL	Atlanta, GA	1535	1532	-3	15	1547	1745	17	1804	1802	-2	0		0	N	89	90	58	1	425									
2018-04-22	UA	UA_CODESHARE	UA	3678	YX	N657RW	3678	13930	ORD	Chicago, IL	13198	MCI	Kansas City, MO	1752	1744	-8	24	1808	1910	5	1932	1915	-17	0		0	N	100	91	62	1	403									
2019-02-12	WN	WN	WN	269	WN	N218WN	269	15304	TPA	Tampa, FL	11278	DCA	Washington, DC	1230	1246	16	12	1258	1439	3	1450	1442	-8	0		0	N	140	116	101	1	814									
2018-09-30	WN	WN	WN	6448	WN	N8512U	6448	10821	BWI	Baltimore, MD	10721	BOS	Boston, MA	2015	2028	13	10	2038	2138	7	2145	2145	0	0		0	N	90	77	60	1	369									
2019-11-30	UA	UA	UA	2408	UA	N13750	2408	12264	IAD	Washington, DC	11042	CLE	Cleveland, OH	2205	2204	-1	14	2218	2309	8	2321	2317	-4	0		0	N	76	73	51	1	288									
2018-01-22	DL	DL_CODESHARE	DL	5406	EV	N738EV	5406	14524	RIC	Richmond, VA	11433	DTW	Detroit, MI	1300	1255	-5	8	1303	1430	5	1454	1435	-19	0		0	N	114	100	87	1	456									
2018-04-02	AA	AA	AA	2195	AA	N824NN	2195	11298	DFW	Dallas/Fort Worth, TX	10713	BOI	Boise, ID	1630	1635	5	14	1649	1853	7	1852	1900	8	0		0	N	202	205	184	1	1272									
2019-07-21	AA	AA	AA	1553	AA	N950NN	1553	14908	SNA	Santa Ana, CA	13930	ORD	Chicago, IL	1510	1558	48	18	1616	2139	28	2121	2207	46	0		0	N	251	249	203	1	1726	0	11	0	0	35				
