,arr_delay
0,-15.0
1,56.0
2,8.0
3,-8.0
4,2.0
5,36.0
6,-12.0
7,-21.0
8,-13.0
9,-23.0
10,-8.0
11,90.0
12,-18.0
13,-26.0
14,-22.0
15,-6.0
16,2.0
17,-8.0
18,35.0
19,4.0
20,11.0
21,14.0
22,49.0
23,-2.0
24,-7.0
25,-1.0
26,-10.0
27,-14.0
28,3.0
29,4.0
30,-2.0
31,-17.0
32,-8.0
33,0.0
34,-4.0
35,-19.0
36,8.0
37,46.0
38,10.0
39,
40,-4.0
41,15.0
42,-7.0
43,-16.0
44,-3.0
45,7.0
46,
47,58.0
48,-7.0
49,-15.0
50,29.0
51,-11.0
52,-5.0
53,-14.0
54,-32.0
55,96.0
56,12.0
57,-7.0
58,-15.0
59,107.0
60,-21.0
61,5.0
62,22.0
63,75.0
64,-25.0
65,12.0
66,-46.0
67,-7.0
68,326.0
69,-34.0
70,2.0
71,-8.0
72,-12.0
73,-23.0
74,-27.0
75,109.0
76,-8.0
77,-7.0
78,-10.0
79,-3.0
80,-13.0
81,0.0
82,-4.0
83,-20.0
84,-3.0
85,87.0
86,-11.0
87,-2.0
88,-27.0
89,-15.0
90,-13.0
91,-17.0
92,13.0
93,-19.0
94,-20.0
95,16.0
96,-28.0
97,6.0
98,-21.0
99,-29.0
100,-34.0
101,-15.0
102,32.0
103,-15.0
104,-11.0
105,47.0
106,7.0
107,34.0
108,-11.0
109,28.0
110,-27.0
111,-12.0
112,-18.0
113,-18.0
114,49.0
115,-13.0
116,21.0
117,-14.0
118,58.0
119,-2.0
120,-6.0
121,-1.0
122,1.0
123,-14.0
124,-6.0
125,-10.0
126,0.0
127,-2.0
128,-18.0
129,16.0
130,-10.0
131,-11.0
132,-6.0
133,-17.0
134,-5.0
135,-5.0
136,-8.0
137,11.0
138,-5.0
139,0.0
140,-9.0
141,-16.0
142,11.0
143,-11.0
144,79.0
145,18.0
146,-23.0
147,-2.0
148,-1.0
149,-6.0
150,39.0
151,10.0
152,-15.0
153,-44.0
154,3.0
155,-7.0
156,3.0
157,3.0
158,-7.0
159,-1.0
160,-18.0
161,-1.0
162,-8.0
163,46.0
164,-6.0
165,-2.0
166,26.0
167,-1.0
168,-12.0
169,-4.0
170,4.0
171,-15.0
172,-14.0
173,59.0
174,-13.0
175,39.0
176,-9.0
177,13.0
178,88.0
179,-18.0
180,-15.0
181,-33.0
182,-20.0
183,-18.0
184,-14.0
185,-15.0
186,40.0
187,-29.0
188,-4.0
189,-3.0
190,-22.0
191,-2.0
192,35.0
193,-5.0
194,-22.0
195,23.0
196,89.0
197,7.0
198,-15.0
199,62.0
200,-18.0
201,57.0
202,-21.0
203,-16.0
204,-17.0
205,1.0
206,-5.0
207,8.0
208,-8.0
209,-24.0
210,-3.0
211,-14.0
212,-11.0
213,-10.0
214,21.0
215,-7.0
216,9.0
217,-12.0
218,33.0
219,12.0
220,-14.0
221,-4.0
222,-9.0
223,10.0
224,-20.0
225,8.0
226,-3.0
227,7.0
228,-4.0
229,-17.0
230,6.0
231,-13.0
232,-20.0
233,-9.0
234,-18.0
235,-7.0
236,11.0
237,-11.0
238,-18.0
239,5.0
240,-13.0
241,48.0
242,-4.0
243,6.0
244,-24.0
245,-7.0
246,55.0
247,-8.0
248,-14.0
249,36.0
250,-13.0
251,37.0
252,-19.0
253,-25.0
254,36.0
255,-10.0
256,-6.0
257,-11.0
258,-10.0
259,-5.0
260,-10.0
261,8.0
262,-2.0
263,-11.0
264,52.0
265,-3.0
266,-14.0
267,-22.0
268,-11.0
269,15.0
270,-8.0
271,38.0
272,12.0
273,-29.0
274,10.0
275,0.0
276,-5.0
277,10.0
278,-1.0
279,0.0
280,-21.0
281,133.0
282,-4.0
283,-19.0
284,-18.0
285,-22.0
286,28.0
287,7.0
288,-24.0
289,-20.0
290,9.0
291,36.0
292,1.0
293,32.0
294,80.0
295,5.0
296,11.0
297,-8.0
298,26.0
299,-2.0
300,-22.0
301,-34.0
302,-13.0
303,-8.0
304,8.0
305,-21.0
306,0.0
307,0.0
308,-15.0
309,8.0
310,12.0
311,-7.0
312,-13.0
313,-8.0
314,-11.0
315,51.0
316,-41.0
317,18.0
318,23.0
319,-6.0
320,20.0
321,18.0
322,5.0
323,-14.0
324,16.0
325,-9.0
326,-10.0
327,60.0
328,9.0
329,3.0
330,-14.0
331,17.0
332,-16.0
333,0.0
334,106.0
335,7.0
336,19.0
337,7.0
338,139.0
339,-29.0
340,-22.0
341,-13.0
342,-21.0
343,-12.0
344,-24.0
345,-8.0
346,-26.0
347,-1.0
348,-3.0
349,8.0
350,-12.0
351,-19.0
352,7.0
353,-11.0
354,-11.0
355,-19.0
356,-30.0
357,-11.0
358,-17.0
359,-2.0
360,86.0
361,1.0
362,-14.0
363,-12.0
364,-8.0
365,-25.0
366,15.0
367,-14.0
368,-13.0
369,-20.0
370,-41.0
371,-8.0
372,-45.0
373,-23.0
374,-3.0
375,-8.0
376,0.0
377,280.0
378,4.0
379,7.0
380,0.0
381,66.0
382,-8.0
383,5.0
384,10.0
385,-3.0
386,-15.0
387,-9.0
388,8.0
389,-15.0
390,73.0
391,-8.0
392,-2.0
393,8.0
394,-24.0
395,1.0
396,-28.0
397,-16.0
398,-40.0
399,-24.0
400,99.0
401,-12.0
402,-18.0
403,-4.0
404,25.0
405,-10.0
406,4.0
407,-22.0
408,1.0
409,-27.0
410,-10.0
411,-17.0
412,-16.0
413,-17.0
414,4.0
415,12.0
416,0.0
417,-3.0
418,-14.0
419,7.0
420,8.0
421,95.0
422,36.0
423,-7.0
424,-18.0
425,41.0
426,50.0
427,-3.0
428,-10.0
429,18.0
430,4.0
431,32.0
432,-28.0
433,-3.0
434,-24.0
435,-25.0
436,-6.0
437,-6.0
438,-26.0
439,-9.0
440,-22.0
441,139.0
442,14.0
443,-21.0
444,8.0
445,74.0
446,-12.0
447,-12.0
448,2.0
449,41.0
450,7.0
451,-18.0
452,-37.0
453,132.0
454,-19.0
455,8.0
456,-30.0
457,-11.0
458,-12.0
459,-9.0
460,0.0
461,-12.0
462,-17.0
463,6.0
464,-10.0
465,-3.0
466,37.0
467,106.0
468,43.0
469,5.0
470,-20.0
471,81.0
472,-1.0
473,13.0
474,47.0
475,-4.0
476,-4.0
477,-6.0
478,-12.0
479,-21.0
480,6.0
481,-5.0
482,34.0
483,-6.0
484,-9.0
485,-10.0
486,1.0
487,1.0
488,13.0
489,47.0
490,-8.0
491,7.0
492,3.0
493,2.0
494,-6.0
495,-19.0
496,-1.0
497,-4.0
498,-13.0
499,-2.0
500,-2.0
501,5.0
502,-28.0
503,-10.0
504,-4.0
505,10.0
506,1.0
507,-10.0
508,0.0
509,13.0
510,103.0
511,-4.0
512,16.0
513,-6.0
514,4.0
515,15.0
516,-9.0
517,-2.0
518,-7.0
519,93.0
520,38.0
521,94.0
522,-7.0
523,-7.0
524,-7.0
525,2.0
526,-13.0
527,-12.0
